Question_codes,Question_codes(pt),Question_text,Question_text(pt),Question_conversion,Category,Subcategory,Group,Subgroup,Base_unit,Row
55 - Q1 - Unit of time,X55...Q1...Unit.of.time,"How much of the following FRUITS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the fruit daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively. If you only eat the fruit seasonally, then append /s to the unit of time (e.g. m/s &#61; monthly in the season).  Pear - Unit of time","How much of.the following.FRUITS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.fruit.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively..If.you.only.eat.the.fruit.seasonally,.then.append./s.to.the.unit.of.time.(e.g..m/s.&#61;.monthly.in.the.season). .Pear.-.Unit.of.time",Fruit_Pear_Time,Diet,Fruit,Pear,Time,,
55 - Q1 - Quantity (in pieces),X55...Q1...Quantity.(in.pieces),"How much of the following FRUITS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the fruit daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively. If you only eat the fruit seasonally, then append /s to the unit of time (e.g. m/s &#61; monthly in the season).  Persimmons - Quantity (in pieces)","How much of.the following.FRUITS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.fruit.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively..If.you.only.eat.the.fruit.seasonally,.then.append./s.to.the.unit.of.time.(e.g..m/s.&#61;.monthly.in.the.season). .Persimmons.-.Quantity.(in.pieces)",Fruit_Persimmons_Quantity_pieces,Diet,Fruit,Persimmons,Quantity,pieces,
55 - Q1 - Quantity (in grams),X55...Q1...Quantity.(in.grams),"How much of the following FRUITS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the fruit daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively. If you only eat the fruit seasonally, then append /s to the unit of time (e.g. m/s &#61; monthly in the season).  Persimmons - Quantity (in grams)","How much of.the following.FRUITS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.fruit.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively..If.you.only.eat.the.fruit.seasonally,.then.append./s.to.the.unit.of.time.(e.g..m/s.&#61;.monthly.in.the.season). .Persimmons.-.Quantity.(in.grams)",Fruit_Persimmons_Quantity_g,Diet,Fruit,Persimmons,Quantity,g,
55 - Q1 - Unit of time,X55...Q1...Unit.of.time,"How much of the following FRUITS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the fruit daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively. If you only eat the fruit seasonally, then append /s to the unit of time (e.g. m/s &#61; monthly in the season).  Persimmons - Unit of time","How much of.the following.FRUITS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.fruit.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively..If.you.only.eat.the.fruit.seasonally,.then.append./s.to.the.unit.of.time.(e.g..m/s.&#61;.monthly.in.the.season). .Persimmons.-.Unit.of.time",Fruit_Persimmons_Time,Diet,Fruit,Persimmons,Time,,
55 - Q1 - Quantity (in pieces),X55...Q1...Quantity.(in.pieces),"How much of the following FRUITS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the fruit daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively. If you only eat the fruit seasonally, then append /s to the unit of time (e.g. m/s &#61; monthly in the season).  Pineapple - Quantity (in pieces)","How much of.the following.FRUITS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.fruit.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively..If.you.only.eat.the.fruit.seasonally,.then.append./s.to.the.unit.of.time.(e.g..m/s.&#61;.monthly.in.the.season). .Pineapple.-.Quantity.(in.pieces)",Fruit_Pineapple_Quantity_pieces,Diet,Fruit,Pineapple,Quantity,pieces,
55 - Q1 - Quantity (in grams),X55...Q1...Quantity.(in.grams),"How much of the following FRUITS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the fruit daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively. If you only eat the fruit seasonally, then append /s to the unit of time (e.g. m/s &#61; monthly in the season).  Pineapple - Quantity (in grams)","How much of.the following.FRUITS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.fruit.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively..If.you.only.eat.the.fruit.seasonally,.then.append./s.to.the.unit.of.time.(e.g..m/s.&#61;.monthly.in.the.season). .Pineapple.-.Quantity.(in.grams)",Fruit_Pineapple_Quantity_g,Diet,Fruit,Pineapple,Quantity,g,
55 - Q1 - Unit of time,X55...Q1...Unit.of.time,"How much of the following FRUITS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the fruit daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively. If you only eat the fruit seasonally, then append /s to the unit of time (e.g. m/s &#61; monthly in the season).  Pineapple - Unit of time","How much of.the following.FRUITS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.fruit.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively..If.you.only.eat.the.fruit.seasonally,.then.append./s.to.the.unit.of.time.(e.g..m/s.&#61;.monthly.in.the.season). .Pineapple.-.Unit.of.time",Fruit_Pineapple_Time,Diet,Fruit,Pineapple,Time,,
55 - Q1 - Quantity (in pieces),X55...Q1...Quantity.(in.pieces),"How much of the following FRUITS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the fruit daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively. If you only eat the fruit seasonally, then append /s to the unit of time (e.g. m/s &#61; monthly in the season).  Pomegranate - Quantity (in pieces)","How much of.the following.FRUITS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.fruit.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively..If.you.only.eat.the.fruit.seasonally,.then.append./s.to.the.unit.of.time.(e.g..m/s.&#61;.monthly.in.the.season). .Pomegranate.-.Quantity.(in.pieces)",Fruit_Pomegranate_Quantity_pieces,Diet,Fruit,Pomegranate,Quantity,pieces,
55 - Q1 - Quantity (in grams),X55...Q1...Quantity.(in.grams),"How much of the following FRUITS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the fruit daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively. If you only eat the fruit seasonally, then append /s to the unit of time (e.g. m/s &#61; monthly in the season).  Pomegranate - Quantity (in grams)","How much of.the following.FRUITS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.fruit.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively..If.you.only.eat.the.fruit.seasonally,.then.append./s.to.the.unit.of.time.(e.g..m/s.&#61;.monthly.in.the.season). .Pomegranate.-.Quantity.(in.grams)",Fruit_Pomegranate_Quantity_g,Diet,Fruit,Pomegranate,Quantity,g,
55 - Q1 - Unit of time,X55...Q1...Unit.of.time,"How much of the following FRUITS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the fruit daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively. If you only eat the fruit seasonally, then append /s to the unit of time (e.g. m/s &#61; monthly in the season).  Pomegranate - Unit of time","How much of.the following.FRUITS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.fruit.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively..If.you.only.eat.the.fruit.seasonally,.then.append./s.to.the.unit.of.time.(e.g..m/s.&#61;.monthly.in.the.season). .Pomegranate.-.Unit.of.time",Fruit_Pomegranate_Time,Diet,Fruit,Pomegranate,Time,,
55 - Q1 - Quantity (in pieces),X55...Q1...Quantity.(in.pieces),"How much of the following FRUITS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the fruit daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively. If you only eat the fruit seasonally, then append /s to the unit of time (e.g. m/s &#61; monthly in the season).  Plum - Quantity (in pieces)","How much of.the following.FRUITS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.fruit.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively..If.you.only.eat.the.fruit.seasonally,.then.append./s.to.the.unit.of.time.(e.g..m/s.&#61;.monthly.in.the.season). .Plum.-.Quantity.(in.pieces)",Fruit_Plum_Quantity_pieces,Diet,Fruit,Plum,Quantity,pieces,
55 - Q1 - Quantity (in grams),X55...Q1...Quantity.(in.grams),"How much of the following FRUITS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the fruit daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively. If you only eat the fruit seasonally, then append /s to the unit of time (e.g. m/s &#61; monthly in the season).  Plum - Quantity (in grams)","How much of.the following.FRUITS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.fruit.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively..If.you.only.eat.the.fruit.seasonally,.then.append./s.to.the.unit.of.time.(e.g..m/s.&#61;.monthly.in.the.season). .Plum.-.Quantity.(in.grams)",Fruit_Plum_Quantity_g,Diet,Fruit,Plum,Quantity,g,
55 - Q1 - Unit of time,X55...Q1...Unit.of.time,"How much of the following FRUITS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the fruit daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively. If you only eat the fruit seasonally, then append /s to the unit of time (e.g. m/s &#61; monthly in the season).  Plum - Unit of time","How much of.the following.FRUITS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.fruit.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively..If.you.only.eat.the.fruit.seasonally,.then.append./s.to.the.unit.of.time.(e.g..m/s.&#61;.monthly.in.the.season). .Plum.-.Unit.of.time",Fruit_Plum_Time,Diet,Fruit,Plum,Time,,
55 - Q1 - Quantity (in pieces),X55...Q1...Quantity.(in.pieces),"How much of the following FRUITS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the fruit daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively. If you only eat the fruit seasonally, then append /s to the unit of time (e.g. m/s &#61; monthly in the season).  Raspberry  - Quantity (in pieces)","How much of.the following.FRUITS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.fruit.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively..If.you.only.eat.the.fruit.seasonally,.then.append./s.to.the.unit.of.time.(e.g..m/s.&#61;.monthly.in.the.season). .Raspberry .-.Quantity.(in.pieces)",Fruit_Raspberry_Quantity_pieces,Diet,Fruit,Raspberry,Quantity,pieces,
55 - Q1 - Quantity (in grams),X55...Q1...Quantity.(in.grams),"How much of the following FRUITS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the fruit daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively. If you only eat the fruit seasonally, then append /s to the unit of time (e.g. m/s &#61; monthly in the season).  Raspberry  - Quantity (in grams)","How much of.the following.FRUITS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.fruit.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively..If.you.only.eat.the.fruit.seasonally,.then.append./s.to.the.unit.of.time.(e.g..m/s.&#61;.monthly.in.the.season). .Raspberry .-.Quantity.(in.grams)",Fruit_Raspberry_Quantity_g,Diet,Fruit,Raspberry,Quantity,g,
55 - Q1 - Unit of time,X55...Q1...Unit.of.time,"How much of the following FRUITS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the fruit daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively. If you only eat the fruit seasonally, then append /s to the unit of time (e.g. m/s &#61; monthly in the season).  Raspberry  - Unit of time","How much of.the following.FRUITS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.fruit.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively..If.you.only.eat.the.fruit.seasonally,.then.append./s.to.the.unit.of.time.(e.g..m/s.&#61;.monthly.in.the.season). .Raspberry .-.Unit.of.time",Fruit_Raspberry_Time,Diet,Fruit,Raspberry,Time,,
55 - Q1 - Quantity (in pieces),X55...Q1...Quantity.(in.pieces),"How much of the following FRUITS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the fruit daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively. If you only eat the fruit seasonally, then append /s to the unit of time (e.g. m/s &#61; monthly in the season).  Strawberry - Quantity (in pieces)","How much of.the following.FRUITS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.fruit.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively..If.you.only.eat.the.fruit.seasonally,.then.append./s.to.the.unit.of.time.(e.g..m/s.&#61;.monthly.in.the.season). .Strawberry.-.Quantity.(in.pieces)",Fruit_Strawberry_Quantity_pieces,Diet,Fruit,Strawberry,Quantity,pieces,
55 - Q1 - Quantity (in grams),X55...Q1...Quantity.(in.grams),"How much of the following FRUITS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the fruit daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively. If you only eat the fruit seasonally, then append /s to the unit of time (e.g. m/s &#61; monthly in the season).  Strawberry - Quantity (in grams)","How much of.the following.FRUITS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.fruit.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively..If.you.only.eat.the.fruit.seasonally,.then.append./s.to.the.unit.of.time.(e.g..m/s.&#61;.monthly.in.the.season). .Strawberry.-.Quantity.(in.grams)",Fruit_Strawberry_Quantity_g,Diet,Fruit,Strawberry,Quantity,g,
55 - Q1 - Unit of time,X55...Q1...Unit.of.time,"How much of the following FRUITS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the fruit daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively. If you only eat the fruit seasonally, then append /s to the unit of time (e.g. m/s &#61; monthly in the season).  Strawberry - Unit of time","How much of.the following.FRUITS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.fruit.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively..If.you.only.eat.the.fruit.seasonally,.then.append./s.to.the.unit.of.time.(e.g..m/s.&#61;.monthly.in.the.season). .Strawberry.-.Unit.of.time",Fruit_Strawberry_Time,Diet,Fruit,Strawberry,Time,,
55 - Q1 - Quantity (in pieces),X55...Q1...Quantity.(in.pieces),"How much of the following FRUITS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the fruit daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively. If you only eat the fruit seasonally, then append /s to the unit of time (e.g. m/s &#61; monthly in the season).  Tangerine - Quantity (in pieces)","How much of.the following.FRUITS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.fruit.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively..If.you.only.eat.the.fruit.seasonally,.then.append./s.to.the.unit.of.time.(e.g..m/s.&#61;.monthly.in.the.season). .Tangerine.-.Quantity.(in.pieces)",Fruit_Tangerine_Quantity_pieces,Diet,Fruit,Tangerine,Quantity,pieces,
55 - Q1 - Quantity (in grams),X55...Q1...Quantity.(in.grams),"How much of the following FRUITS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the fruit daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively. If you only eat the fruit seasonally, then append /s to the unit of time (e.g. m/s &#61; monthly in the season).  Tangerine - Quantity (in grams)","How much of.the following.FRUITS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.fruit.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively..If.you.only.eat.the.fruit.seasonally,.then.append./s.to.the.unit.of.time.(e.g..m/s.&#61;.monthly.in.the.season). .Tangerine.-.Quantity.(in.grams)",Fruit_Tangerine_Quantity_g,Diet,Fruit,Tangerine,Quantity,g,
55 - Q1 - Unit of time,X55...Q1...Unit.of.time,"How much of the following FRUITS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the fruit daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively. If you only eat the fruit seasonally, then append /s to the unit of time (e.g. m/s &#61; monthly in the season).  Tangerine - Unit of time","How much of.the following.FRUITS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.fruit.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively..If.you.only.eat.the.fruit.seasonally,.then.append./s.to.the.unit.of.time.(e.g..m/s.&#61;.monthly.in.the.season). .Tangerine.-.Unit.of.time",Fruit_Tangerine_Time,Diet,Fruit,Tangerine,Time,,
56 - Q76 - Other fruits,X56...Q76...Other.fruits,"If you consume other fruits, please specify below and indicate the quantity as number of pieces per unit of time or grams per unit of time similar as in the previous question. Row 1 - Other fruits","If.you.consume.other.fruits,.please.specify.below.and.indicate.the.quantity.as.number.of.pieces.per.unit.of.time.or.grams.per.unit.of.time.similar.as.in.the.previous.question..Row.1.-.Other.fruits",Fruit_Other_1,Diet,Fruit,Other,Source,,1
56 - Q76 - Quantity (in pieces),X56...Q76...Quantity.(in.pieces),"If you consume other fruits, please specify below and indicate the quantity as number of pieces per unit of time or grams per unit of time similar as in the previous question. Row 1 - Quantity (in pieces)","If.you.consume.other.fruits,.please.specify.below.and.indicate.the.quantity.as.number.of.pieces.per.unit.of.time.or.grams.per.unit.of.time.similar.as.in.the.previous.question..Row.1.-.Quantity.(in.pieces)",Fruit_Other_Quantity_pieces_1,Diet,Fruit,Other,Quantity,pieces,1
56 - Q76 - Quantity (in grams),X56...Q76...Quantity.(in.grams),"If you consume other fruits, please specify below and indicate the quantity as number of pieces per unit of time or grams per unit of time similar as in the previous question. Row 1 - Quantity (in grams)","If.you.consume.other.fruits,.please.specify.below.and.indicate.the.quantity.as.number.of.pieces.per.unit.of.time.or.grams.per.unit.of.time.similar.as.in.the.previous.question..Row.1.-.Quantity.(in.grams)",Fruit_Other_Quantity_g_1,Diet,Fruit,Other,Quantity,g,1
56 - Q76 - Unit of time,X56...Q76...Unit.of.time,"If you consume other fruits, please specify below and indicate the quantity as number of pieces per unit of time or grams per unit of time similar as in the previous question. Row 1 - Unit of time","If.you.consume.other.fruits,.please.specify.below.and.indicate.the.quantity.as.number.of.pieces.per.unit.of.time.or.grams.per.unit.of.time.similar.as.in.the.previous.question..Row.1.-.Unit.of.time",Fruit_Other_Time_1,Diet,Fruit,Other,Time,,1
56 - Q76 - Other fruits,X56...Q76...Other.fruits,"If you consume other fruits, please specify below and indicate the quantity as number of pieces per unit of time or grams per unit of time similar as in the previous question. Row 2 - Other fruits","If.you.consume.other.fruits,.please.specify.below.and.indicate.the.quantity.as.number.of.pieces.per.unit.of.time.or.grams.per.unit.of.time.similar.as.in.the.previous.question..Row.2.-.Other.fruits",Fruit_Other_2,Diet,Fruit,Other,Source,,2
56 - Q76 - Quantity (in pieces),X56...Q76...Quantity.(in.pieces),"If you consume other fruits, please specify below and indicate the quantity as number of pieces per unit of time or grams per unit of time similar as in the previous question. Row 2 - Quantity (in pieces)","If.you.consume.other.fruits,.please.specify.below.and.indicate.the.quantity.as.number.of.pieces.per.unit.of.time.or.grams.per.unit.of.time.similar.as.in.the.previous.question..Row.2.-.Quantity.(in.pieces)",Fruit_Other_Quantity_pieces_2,Diet,Fruit,Other,Quantity,pieces,2
56 - Q76 - Quantity (in grams),X56...Q76...Quantity.(in.grams),"If you consume other fruits, please specify below and indicate the quantity as number of pieces per unit of time or grams per unit of time similar as in the previous question. Row 2 - Quantity (in grams)","If.you.consume.other.fruits,.please.specify.below.and.indicate.the.quantity.as.number.of.pieces.per.unit.of.time.or.grams.per.unit.of.time.similar.as.in.the.previous.question..Row.2.-.Quantity.(in.grams)",Fruit_Other_Quantity_g_2,Diet,Fruit,Other,Quantity,g,2
56 - Q76 - Unit of time,X56...Q76...Unit.of.time,"If you consume other fruits, please specify below and indicate the quantity as number of pieces per unit of time or grams per unit of time similar as in the previous question. Row 2 - Unit of time","If.you.consume.other.fruits,.please.specify.below.and.indicate.the.quantity.as.number.of.pieces.per.unit.of.time.or.grams.per.unit.of.time.similar.as.in.the.previous.question..Row.2.-.Unit.of.time",Fruit_Other_Time_2,Diet,Fruit,Other,Time,,2
56 - Q76 - Other fruits,X56...Q76...Other.fruits,"If you consume other fruits, please specify below and indicate the quantity as number of pieces per unit of time or grams per unit of time similar as in the previous question. Row 3 - Other fruits","If.you.consume.other.fruits,.please.specify.below.and.indicate.the.quantity.as.number.of.pieces.per.unit.of.time.or.grams.per.unit.of.time.similar.as.in.the.previous.question..Row.3.-.Other.fruits",Fruit_Other_3,Diet,Fruit,Other,Source,,3
56 - Q76 - Quantity (in pieces),X56...Q76...Quantity.(in.pieces),"If you consume other fruits, please specify below and indicate the quantity as number of pieces per unit of time or grams per unit of time similar as in the previous question. Row 3 - Quantity (in pieces)","If.you.consume.other.fruits,.please.specify.below.and.indicate.the.quantity.as.number.of.pieces.per.unit.of.time.or.grams.per.unit.of.time.similar.as.in.the.previous.question..Row.3.-.Quantity.(in.pieces)",Fruit_Other_Quantity_pieces_3,Diet,Fruit,Other,Quantity,pieces,3
56 - Q76 - Quantity (in grams),X56...Q76...Quantity.(in.grams),"If you consume other fruits, please specify below and indicate the quantity as number of pieces per unit of time or grams per unit of time similar as in the previous question. Row 3 - Quantity (in grams)","If.you.consume.other.fruits,.please.specify.below.and.indicate.the.quantity.as.number.of.pieces.per.unit.of.time.or.grams.per.unit.of.time.similar.as.in.the.previous.question..Row.3.-.Quantity.(in.grams)",Fruit_Other_Quantity_g_3,Diet,Fruit,Other,Quantity,g,3
